S. No.,Category Name,URL if available,Description(Minimum 80 words),,,Reviews,Rating,Images
,,,,,,"2. Great company and I love working with them any time they ask me to. The brand is honest, loyal, and I would recommend them to anyone who asks.",4,
,,,,,,"3. My typical day was revolved around great workers, respectful employers, and nice customers. During my time of working there I learned how to put shingles down to make a new roof.",5,
,,,,,,,,
44,Bentley,www.bentleymotors.com,"Bentley Motors Limited  is a British company that designs, develops, and manufactures luxury motorcars which are largely hand-built. It is a subsidiary of Volkswagen AG. Now based in Crewe, England, Bentley Motors Limited was founded by W. O. Bentley on 18 January 1919 in Cricklewood, North London. Bentley cars are sold via franchised dealers worldwide, and as of November 2012, China was the largest market.

Most Bentley cars are assembled at the Crewe factory, but a small number of Continental Flying Spurs are assembled at the factory in Dresden, Germany. Bodies for the Continental are produced in Zwickau, Germany. Bentley won the 24 Hours of Le Mans in 1924, 1927, 1928, 1929, 1930, and 2003.

Regarded as a British luxury automobile icon, Bentley models include the Bentley 4½ Litre, Bentley Speed Six, Bentley R Type Continental, Bentley Turbo R, and Bentley Arnage. As of 2015, Bentley produce the Continental Flying Spur, Continental GT, Bentley Bentayga and the Mulsanne.

Rolls-Royce bought Bentley from the receivers in 1931 and subsequently sold it to Vickers plc in 1980 when Rolls-Royce themselves went bankrupt. In 1998, Vickers sold it to Volkswagen AG. The sale included the vehicle designs, model nameplates, production and administrative facilities, the Spirit of Ecstasy and Rolls-Royce grille shape trademarks, but not the rights to the Rolls-Royce name or logo which are owned by Rolls-Royce Holdings plc and licensed to BMW AG.","Crewe, England, United Kingdom [2]",44 (0) 1270 255 155,"1. Pros
Good Work life balance here
Cons
Lower onsite opportunities over here",4,
,,,,,,"2. Pros
Very Nice work environment.Good company.
Cons
Not found yet.Very good company.",4,
,,,,,,"3. Pros
You will always have work to do. , no on bench concept, allow you to learn interested Technologies.
Cons
no experience to work under pressure.",4,
,,,,,,,,
45,Skoda,www.skoda-auto.com,"Škoda Auto  more commonly known as Škoda, is a Czech automobile manufacturer founded in 1895 as Laurin & Klement. It is headquartered in Mladá Boleslav, Czech Republic.

In 1925 Laurin & Klement was acquired by Škoda Works which itself became state owned during the communist regime. After 1991 it was gradually privatized and in 2000 Škoda became a wholly owned subsidiary of the Volkswagen Group.

Initially, the company was meant to serve the role of the VW Group’s entry brand. Over time, however, the Škoda brand has shifted progressively more upmarket, with most models overlapping with their Volkswagen counterparts on price and features, while eclipsing them on space. Its total global sales reached 1.06 million cars in 2015 and had risen annually by 1.8 percent, profit had risen by 6,5%. In 2015, a corporate strategy was launched to produce an all-electric car by 2020 or 2021 with a range of over 500 kilometres (310 mi), 15-minute charging time, and a cost below comparative combustion-engine vehicle.","tř. Václava Klementa 869, 293 60 Mladá Boleslav, Czech Republic",420 326 811 111,"1. Pros
Rich learning experience, opportunity to work with different ancillary organisations and various departments. Friendly atmosphere, top management accessible and helpful. Internship provides immense strength to the resume.
Cons
No cons. The internship was a wonderful experience and I consider myself highly fortunate.",4,
,,,,,,"2. Pros
reached brand and strongest cars I never seen like skoda I love this brand
Cons
cost of service and parts little high compair with others and non availability of spare are concerned",4,
,,,,,,"3. Pros
You get to be among people with a fine work culture. Apart from everything else, the joy of working in the assembly line of Audis is a great experience.
Cons
Since there is no manufacturing facility, work is monotonous. There are only one or two departments like after-sales and field analysis where there can be interesting work",3,
,,,,,,,,
46,Chrysler,www.fcausllc.com,"FCA US LLC, also known as Fiat Chrysler or simply Chrysler (/ˈkraɪslər/), is the American subsidiary of Fiat Chrysler Automobiles N.V., an Italian controlled automobile manufacturer registered in the Netherlands with headquarters in London, U.K. for tax purposes. FCA US is one of the ""Big Three"" American automobile manufacturers. FCA US has its headquarters in Auburn Hills, Michigan and sells vehicles worldwide under its flagship Chrysler brand, as well as the Dodge, Jeep, and Ram Trucks. Other major divisions include Mopar, its automotive parts and accessories division, and SRT, its performance automobile division.

The Chrysler Corporation was founded by Walter Chrysler in 1925,out of what remained of the Maxwell Motor Company. Chrysler greatly expanded in 1928, when Mr. Chrysler, who at one time worked for Buick, acquired the Fargo truck company and the Dodge Brothers Company and began selling vehicles under those brands; that same year it also established the Plymouth and DeSoto automobile brands. The brand diversification efforts were inspired by Mr. Chrysler's time working for General Motors, with an emphasis on brand hierarchy.

Facing postwar declines in market share, productivity, and profitability, as GM and Ford were growing, Chrysler borrowed $250 million in 1954 from Prudential to pay for expansion and updated car designs.

In the 1960s the company expanded into Europe, by taking control of French, British and Spanish auto companies; Chrysler Europe was sold in 1978 to PSA Peugeot Citroën for $1.

Chrysler struggled through the 1970s to adapt to changing markets, increased US import competition, and safety and environmental regulation. The company began an engineering partnership with Mitsubishi Motors, and began selling Mitsubishi vehicles branded as Dodge and Plymouth in North America. By the late 1970s, Chrysler was on the verge of bankruptcy, and was saved by $1.5 billion in loan guarantees from the US government. New CEO Lee Iacocca was credited with returning the company to profitability in the 1980s. In 1985, Diamond-Star Motors was created, further expanding the Chrysler-Mitsubishi relationship.

In 1987, Chrysler acquired American Motors Corporation (AMC), which brought the profitable Jeep brand under the Chrysler umbrella.

In 1998, Chrysler merged with German automaker Daimler-Benz AG to form DaimlerChrysler; the merger proved contentious with investors and Chrysler was sold to Cerberus Capital Management and renamed Chrysler LLC in 2007.","1000 Chrysler Dr, Auburn Hills, MI 48326, USA",1 248-576-5741,1. very stressful high pace environment culture sensitivity is rare or obsolete but I enjoyed the customer service and people skills,,
,,,,,,"2. Typical day, scan in for attendance, change into a uniform, prepare my workstation for prep. for the raw material of the automobile. Sealing product to prevent water leaks (Qualitycontrol) and Safety.Report to management any damage to the product. Co-workers made up as a team of six each have a individual duty in which during the course of the day we rotate and also provide quality control and saftey. Hardest part of the job was locating management when there was damages to the automobile. We cant leave the line. Most enjoyable was when the line is down beacuse of fault in the system or other departments",5,
,,,,,,3. This job was a very lucrative job and eliminated many of my financial stresses I had previously encountered. Although it was long hours and hard work I never minded doing so because I knew my family would benefit from it.,5,
,,,,,,,,
,,,"Ram Trucks was established as a division of Chrysler in 2010, as a spinoff from Dodge, using the name of the popular Dodge Ram line of pickups that is now sold under the Ram banner.According to Chrysler, the Ram brand will concentrate on ""real truck customers,"" rather than casual truck buyers who buy trucks for image or style.Ram Trucks, stylized as RAM (formally known as the Ram Truck Division) is a United States-based brand of light to mid-weight commercial vehicles established in 2010 as a division of FCA US LLC, a wholly owned subsidiary of Fiat Chrysler Automobiles. It was spun off from Dodge marque, using the name of the popular Dodge Ram line of trucks."," 3800 S Lapeer Rd, Lake Orion, MI 48359, USA",1 248-393-2222,,,
47,RAM Trucks,www.RamTrucks.com,,,,"1. Pros
Good pay nice commission and job discount on cars
Cons
Poor management and very long hours",3,
,,,,,,"""2. Pros
There are good people to work with. I do get to learn, and work on some very nice vehicles. Holidays off.
Cons
No accountability for employees who take advantage. Most get away with various transgressions that anywhere else, employees would be written up or fired for. Employees are not valued. Promises and expectations made by management are not valued or kept.""",4,
,,,,,,"3. Pros
Compensation is above average, and the co-workers are great.
Cons
Never really know where you stand with upper management.",4,
,,,,,,,,
48,Buick,www.buick.com,"Buick Motor Division, is an upscale automobile brand of the American manufacturer General Motors (GM). For much of its existence in the North American market, Buick has been marketed as a premium automobile brand, selling luxury vehicles positioned above GM's mainstream brands, e.g. Chevrolet, while below the flagship luxury Cadillac division.

Buick has the distinction of being the oldest active American marque of automobile, and the original Buick Motor Company was the cornerstone of the establishment of General Motors in 1908. Before the establishment of General Motors, GM founder William C. Durant served as Buick's general manager and major investor.

Buick-branded vehicles are sold in the United States, Canada, Mexico, China and Taiwan. In 2015, Buick sold 1,231,941 vehicles, a record for the brand.Since restructuring in 2009, GM has also started to share technology, vehicles and development between Buick and GM's European Opel division.Buick-branded vehicles are also known for reliability, ranking in the top ten for reliability in Consumer Reports' brand reliability rankings.","21800 Woodward Ave, Ferndale, MI 48220, USA",1 248-547-6100,"1. Fun place to work, management is supoortive, and give you the tools to grow. Inventory is high quality. Expectations for employees are high but they give you the tools and resources to succeed.",4,
,,,,,,"2. Courtesy was a family owned company. As a BDC rep, I spent my day calling customers to determine if they were interested in entering the vehicle market. I learned several skills as a telemarketer, including pattern interrupt and closed ended questioning. My direct manager was easy going and fun to work with. My co-workers were excellent. However, as there were no defined rolls past BDC manager and the position was well established, there was no opportunity to move upward.",4,
,,,,,,3. Management staff lied about the position to get me to leave my other job an work there. Management staff would not work with you on ways to improve. They were only concerned about my customers from my last job. I was willing to make changes but they were not willing to give me a chance. Let me go before they had to pay me benfits.The most enjoyable part of the job was working with customers when they had customers.,1,
,,,,,,,,
49,VOLGA,http://volga21.com/,"A product of the alliance between Ford and USSR in 1932, Volga was meant to supply the demand for luxury cars that were little by little emerging in Western Europe. The Volga model was started in 1956 and was a successor to the previous GAZ-M20 Poebda.

Although very far from what German or French brands managed to achieve in terms of luxury, the vehicles built by the GAZ – Gorkovsky Avtomobilny Zavod – were a brief reminder of Ford’s defined, sleek design outlines. Being perceived as highly different from the more rudimentary Lada, the Volga became a trademark of wealth, being only purchased by doctors, lawyers and political representatives.

Up until today, several series of Volga vehicles were manufactured, the latest ones being used as cabs and police cars. Production stopped in 2007, which makes Volga now one of the desirable vintage car models in the world. President Putin is known to be one of the avid fans of this brand.","Nizhny Novgorod, Russia",,"1. Pros
Company Management is trying to become a Global Auto Manufacuring Company.
Cons
The decision making is too centralised and there is a lack of global mind set at the top management level.",3,
,,,,,,"2. Pros
Flexible environment, Birthday celebrations, Easy conveyance
Cons
No proper guidance with respect to work, no proper help and no co-ordination, no management",1,
,,,,,,"3. Pros
I did not Find anything.
Cons
Always welcome Smart & New Technologies.
Always welcome appreciate.",3,
,,,,,,,,
50,Foton,        www.foton-global.com,"Beiqi Foton Motor Co., Ltd. (Foton Motor or Foton) is a Chinese company which designs and manufactures trucks, buses, sport utility vehicles and agricultural machinery. It is headquartered in Changping, Beijing and is a subsidiary of BAIC Group.

Foton makes commercial trucks in a joint venture with Daimler AG, called Beijing Foton Daimler Automobile Co., Ltd., which sells its products under the ""Auman"" brand name.","Shayang Rd, Changping Qu, Beijing Shi, China",86-10-59916095,"1. Pros
Company Management is trying to become a Global Auto Manufacuring Company.
Cons
The decision making is too centralised and there is a lack of global mind set at the top management level.",1,
,,,,,,"2. Pros
Really interesting work ,lot to learn and add value.
It's great to be around of a lot smart and fun people. Everyone has clear goals to achieve each quarter.
The workplace is full of challenges that keep you engaged.
Cons
You will not know if you really ""fit"" the culture until about a year on the job.
Work-life balance can quickly become terrible for those who really understand systems and processes and how to manage them",4,
,,,,,,"3. Pros
Almost it's a good company in Automotive Sector
Cons
It's a Chinese company rule and regulation very hard",4,
