S. No.,Category Name,,Description(Minimum 80 words),location,CONTACT,Reviews,Rating,Images
,,,,,,"3. If the daily routine is concerned the time table is quite flexible . Each day has the combination of Lab and thoery class well organised. Proper time allotted for lab and theory class . Projects are given on monthly evaluation basis and the assignment is assigned on weekdays. Exams are well competitive and surprising most times which makes the habit of pre preparation.
Since the faculty is lead by south Indians I find it best for the academic view. They give their complete focus on teaching aspects. At starting it looked different but now it seem to be perfect for academics and good approach towards career but it be a more better by adding extra curricular activities.",4,
,,,,,,"4.Daily routine of college is continued, they continuously try to give tutorials, assignments and take each and every lecture. Timing of college is 0830 hrs to 1630 hrs. Sessionals took place every month. Appearing in sessional is compulsory for every student. Faculty members are so polite, and friendly by nature. They are always ready for helping each and every student personally. As I am 2nd year student my half of graduation experience is much encouraging for life enhancement and try to teach students to work that is people oriented.",5,
,,,,,,,,
35,Galgotia’s College of Engineering & Technology (GCET),galgotiacollege.edu,"Constantly ranked as one of the top engineering institutions in Uttar Pradesh & one among the top fifty colleges in India (by Data Quest survey), Galgotia College of Engineering and Technology is now on it's sixteen year with great success as a premier technical institution. It has emerged as one of the most preferred institutes of Engineering & Management. Twelve batches have already graduated from our institution and today we are among the best education providers in the UPTU system. Our results are exemplary good from the merit point of view of as well as from the placement perspective. Our students have been placed in the best organizations of the country. Some of them went to abroad for higher studies and job multinational companies. All in all, the last fifteen years have been a challenging and rewarding experience for us.
TO be a provider of globally-competitive proficient professionals.
To nurture and sustain academic excellence, programmed to promote innovation, scholarship and abilities to analyze, experiment and synthesize.
To foster academic-industry/professional synergies and to forge strategic alliances for greater upward mobility.
To import need based education and create an ethos for research of relevance.
To contribute to social and industrial development of the region","1, Knowledge Park, Phase II, Greater Noida, Uttar Pradesh 201306",0120 437 0000,"1. As far as placements are concerned, it is a decent college. The placement ratio is good(specially for CS/IT students), probably the best in that area.
One could easily get a package of 2-3.5 L.P.A. That's the average in college.
In terms of management, it is like most of the private colleges. Focus is mainly on money making. Facilities provided are satisfactory except for maintenance.
Next big thing -> Campus Hostel- The best thing about the campus hostel is that you will get the opportunity to "" tell people stories of your survival(if successfull) after eating mess food"". This is the thing you always hear people (who live in such hostel) talking about, but being in the campus hostel you will be on the other side.

Overall, its a good choice if you are just an average student from a middle class(close to the upper bound :P ) family.",4,
,,,,,,"2. The classes are held whole day and there is a gap lecture in which student can go the library,
Project on the different topics is there at Guru Nanak Institute of Engineering and Technology, [GNIET] Nagpur.
So students can improve their skill.",4,
,,,,,,"3. The classes start typically at 8 in the morning and we have upto 8 lectures a day, the college time is very hectic, the faculty is really great and helpful but is very strict in some departments which makes you fell that you are still in school.Most of them have either a PHd or a master degree at-least.",4,
,,,,,,"4.Daily routine is very hectic. Classes are from 9 AM to 5 PM and the duration of each lecture is 50 minutes. 
Teaching quality is great. 
Over all experience is awesome.",4,
,,,,,,,,
36,Delhi Engineering College,,"Managed by Shri Tilak Raj Dhawan Educational and Charitable Trust, Delhi Engineering College is among the few colleges offering teachings and instructions in engineering and applied sciences at a level that is comparable to the very best in the World. At DEC, extra initiatives have been taken so as to provide commendable infrastructure as well as well Qualified and Trained Faculty Members.

The college is housed in its self contained integrated campus of more than 10 acres of area, located in green & pollution free peaceful environment conducive to the mental, spiritual and physical development of the students. The College, over these few years only, has become a symbol of Growth, Progress and Intellectual Development of the students thereby contributing to the Society, State and the Nation.","Shahbad Daulatpur, Main Bawana Road, Delhi, 110042", 011 2787 1018,"1. The program that I am studying at the university is bachelors of technology in BIOTECHNOLOGY. Frankly speaking, the course would be primarily of interest for those who have studied biology in grade 11 and 12 since biotechnology is a lot about biology (as its name suggests :-p). For students who hate biology, i would suggest them to not opt for this branch. I loved biology and hence opted for this course. The coursework has been nicely divided into various segments and aims to cover almost every topic associated with biology in our 3 year long course. The first year is common to all students from different branches and each and everyone of us required to study maths, physics, electrical engineering etc. So for all those who hate mathematics and physics, i would suggest you to not to take admission in our college because your marks in first year is likely to spoil your GPA (I speak from experience. A lot of my classmates have failed in mathematics and physics in their first year). It would be better to study a Bachelor of sciences course from DELHI UNIVERSITY and maintain a fairly good GPA. Hence, the actual course starts from 2nd year and not your 1st year. Talking about the faculty, the teachers at our department are really nice. They tend to be strict while teaching but actually are a jovial bunch of people who are quite helpful. Also, the HOD of our department is really really nice. He is even more friendly than most of the teachers of our department. I would suggest that, maintain good terms with your teachers and lab assistants as they would be of great help while suggesting you about internships and while writing your recommendation letters. The faculty in our department is actually very well educated. Compared to teachers from other branches, the teachers in our department teach really well. Since there are very few takers of this course, the batch size is really small and that ensures that teacher is able to focus on every student. It might of disadvantage to some, who have joined this course only for the sake of getting a degree from Delhi technological university.",4,
,,,,,,"2. Daily routine is easy going. It starts at 9 AM and classes are till 5 PM. Though, student do have 2 hours of free time during this mentioned official time. During the 2nd year we have 6 subjects in each semester & 4 labs. However, during the 3rd years, the subjects are 5 and 3 labs. So one gets more free period between 9AM to 5 PM to work in lab since the project in this semester holds a lot of credit and importance. During the 4th year, number of subjects each sem comes down to 3, 2 labs, major project 1 & 2, Seminar review. 

3rd and 4th sem students are supposed to prepare a review on research topic of their choice to be presented during the end of sem. While, 5th and 6th sem students are supposed to work on minor projects on a research topic of mutual interest of students and mentors. Mentors are assigned by the department and is subject to change by only the mutual agreement of everyone involved and availability of other option. final year students are supposed to do major project 1 & 2, one in each sem and this holds the most credit during these 2 semester. 

Assignments are subject wise and it's specification are totally on the wish of faculty. Students get assignment in team or solo. 

Each sem consists of one mid sem and one end sem examination which includes lab exams as well. All the exams are compulsory. 

Quality of teaching in department of polymer sciences and applied chemistry is nice. Teachers are really supportive in curriculum and they like to be involved in research. 

Overall experience have been amazing. Not only you do the usual college stuff but one learns life outside the classes. The campus is rife with active student technical societies which contribute a lot to the overall growth. ",4,
,,,,,,"3.DTU is formerly known as DCE, University of Delhi. it is ranked among top 10 engineering colleges in india. batch size has increased but it doesn't hamper the quality of education as dtu has one of the best faculties in India and new faculty is also added. The college now conducts increased master's programs as well as courses in MBA for engineering grads. currently 15 engineering branches are offered under b. tech. course. M.tech and Ph.D. are also available, MbA is also introduced. The lab resources have become limited per person, accommodation in hostels has become limited due to increase in number of students though new hostels are being made. from academics point of view, classes are held on regular basis. you have two examinations per semester. mid term(20 marks), end semester exam(70 marks) and internals(10 marks). back paper criterion, suppose if you have back in any odd or even semester you will give that back paper in the next odd or even semester resp. in final year you have to do 2 projects one in 7th sem and another in 8th sem. a faculty is assigned from your department as a mentor. two compulsory internships one winter(after 5th sem) and one summer(after 6th sem). regular assignments are given which would be graded for internal assessment. you can always reach out to professors outside classes. there are various practical labs UAV, robotics, etc. dtu has very good library. you can issue books for whole semester. no compromise with the infrastructure. hostels have LAN connection accessible by all the students staying in hostel. various fests technical, cultural are also held in college.",4,
,,,,,,,,
37,Sri Guru Gobind Singh College of Commerce,www.sggscc.ac.in,"Sri Guru Gobind Singh College of Commerce, founded in 1984, as the commerce college in the University of Delhi, has emerged as a unique institution progressing towards unprecedented heights. The college provides a blend of resources and environment for all round personality development of its students. Its goals are in consonance with the fact that national economic and commercial relations are becoming so closely interdependent that meaningful vital changes are being introduced with academic curriculum in the centers of higher learning.

The college possesses modern infrastructure including spacious class-rooms, sprawling grounds, a well-equipped library, highly sophisticated computer labs, seminar hall and conference room. Apart from academic excellence, the thrust is also on personality development and group dynamism for which sports facilities like cricket ground, volley ball, basket ball, lawn tennis, table-tennis etc. of national standard have been developed.The college is primarily a co-educational English medium institution. Every student of the college is expected to carry the identity card issued by the college authorities. The same will have to be produced whenever required to do so. The college library came into existence along with the foundation of the college in 1984. It boasts of a rich collection of books on Commerce, Economics, Mathematics, Computer Science and Sikhism. It also subscribes to 25 newspapers, 50 journals and Magazines (Indian as well as International) on a variety of subjects. The college magazine ‘Amrit’ publishes articles by teachers and students and reviews the educational, cultural, social and sports activities of the college.","University of Delhi, Opposite TV Tower,Pitampura, New Delhi, Delhi 110088",011 2732 1528,"1. Daily routine in any Delhi University college is almost same. In SGGSCC, the first class is at 8:40 am and the last class can be as late as 4:00 pm. Well, most of the days these time can vary depending on Teacher's availability. 
Projects are given to students in almost every semester in any one subject and are also checked very thoroughly. Exams are not that difficult. They can easily be cracked down by any student. But do prepare for the internal exams and practicals as they are set by the college teachers and can be difficult sometimes. Assignments are given to students on a weekly basis or after a particular chapter has been completed.
The quality of teaching for my stream i.e. Computer Science can be judged as Average as most of the teachers are young and inexperienced. But are very helpful and understanding and are ready to help whenever asked. The method of teaching is good as the teacher not only focuses on what will come in the exam but are also always trying to teach the students beyond that which will help them ahead in their life.
Overall experience in the college is very good. The college is involved in different kind of activities and hackathons and is always trying to keep and preserve the student's interest. Seniors are very helpful and can direct you on college functionalities once approached.",3,
,,,,,,"2. sggscc offers various undergraduate and postgraduate courses . the following are the three year undergraduation courses. B. Com (Hons) B. Com B.A. (Hons) Economics B.A. (Hons) Business Economics B.Sc. (Hons) Computer Science average cutoff for college is around 95.5% and the college is the best alternative within its range. proper provisions are made to ensure that students are regularly attending classes there are special tutorial classes in addition to the normal classes to ensure that students dont need any outside tuitions faculty of sggscc (undergraduation courses) is experienced,hard working and is often found guiding students on their career.the faculty makes sure that the students are aware of important career steps to be taken to grow in life . the postgraduate courses offered by sggscc are Diploma in Business Journalism and Corporate Communication (DBJCC) Post Graduate Diploma in International Marketing (PGDIM) the faculty of this department is equally good and qualified when compared to the undergraduate department.
Thank1 Written 2 years ago Read full review 
",4,
,,,,,,"3. Being a part of Delhi University,our college has excellent academic exposure and faculty. However,being a commerce college it offers limited courses only i.e. B.Com(h),B.Com,BBE and Economic(h).The schedule is very flexible.Classes start at 8.45am and end by 4.30pm max.Classes have a duration of 55 minutes and a 5 minutes tea break is provided in a day.

The faculty members are happy to go and helpful beings alongwith being well equipped with all the academic knowledge requiredThey would never say a no to you regarding any kind of a help required at any time.

In addition to this, various guest lectures and live projects are also made available for the students.

Also the college is planning to start a new course i.e BBS fro this year onwards.",5,
,,,,,,"4. A less hectic academic schedule allowed us to pursue our hobbies and various other channels of learning in addition to the class room lectures. Students used to participate in various national as well as international business competitions throughout the year and ggs's performance had always been stellar on those platforms. Students took up live projects with various start ups from different industries and complemented their classroom learning. Overall a well rounded and balanced learning experience. In terms of faculty, we had some of the best professors in management education in India and most of them were full time faculty with ggs. However due to small number of quality professors and their research commitments, we were always short of teaching faculty.",5,
,,,,,,,,
38,Northcap University [NCU] - Gurgaon (ITM University),,"Located in the National Capital Region, The NorthCap University is a boutique university, committed to building competencies in engineering, management, law and sciences, apart from research and exploring newer applications of industrial relevance. The University’s value based, inter – disciplinary and industry ready curriculum, quality intellectual faculty resource, dedicated staff, research focus, and a superior enabling and supporting physical and academic infrastructure firmly establishes it in the league of top private universities of India and a most preferred education and research destination.

To further expand our vision and to take our University to greater heights, the University has rebranded itself as ‘The NorthCap University’ or ‘NCU’ for short. The new name, we believe captures the essence of our vision, our guiding principles and our mission for excellence. It is inspired by our geographical location in the north of the country in the National Capital Region. Our new logo has the ‘Bridge’, a mnemonic which represents the connection between the ‘classroom and the real world’ using multidisciplinary value based education imprinted with an industry relevant curriculum.

University Grants Commission (UGC) has notified the name change of the University to 'The NorthCap University' (NCU). An ordinance notifying the name change was earlier promulgated by the Honourable Governor of Haryana. The University is already included in the list of Private Universities under Section 2(f) of the UGC Act.The NorthCap University continues to be recognized by University Grants Commission (UGC), Bar Council of India (BCI), Ministry of Human Resource Development, Government of India (MHRD), Government of Haryana, Association of Indian Universities (AIU), National Board of Accreditation (NBA), Accreditation Service for International Colleges (ASIC) – United Kingdom, American Society for Quality (ASQ), Association of Commonwealth Universities (ACU) – United Kingdom. Accreditation process by National Assessment & Accreditation Council (NAAC), Bangalore is also underway.","Huda, Sector 23A, Near Rotary Public School, Gurgaon, Haryana 122017",0124 236 5811,"1. Classes are held from 8:30 AM to 4:20 PM on Monday to Friday.

Courses available are BTech,Bsc,BBA,Mtech,MBA.

Quality of teaching is good . Teachers take full pain to make students understand the basic concepts.There are regular tests that take place in the classes and sessionsals that occur twice in a semester. There is a major exam for all the courses that we are registered for in the semester that evaluates us and at the end we are given a CGPA according to our performance in each course.

We can contact our professors outside the classes in the staff rooms whenever needed.",4,
,,,,,,"2. The daily class schedule is pretty much tight. It is spread equally across all major subjects, including tutorial hours. The assignments are very interesting along with the quality of teaching content by some of the best professors across industry. The college has a great reputation across North India and a good bunch of employers come to the campus each year to attract the best talent of the lot.
",4,
,,,,,,3. Best Placement in Haryana amongst all Engng colleges Best Faculty Ph.D from IITs. PPt based study was used LMS i.e. Learning Management System wherein we can access all course material and notes by putting our usernameandpassword,3,
,,,,,,,,
39,JRE Group of Institutions,www.jre.edu.in,"With a vision to facilitate quality management and technical education, JRE Group of Institutions has been developed to the highest international standards with state-of-the-art infrastructure. The Institute provides a truly global experience through academic partnership with Raffles Education Corporation Limited (Raffles Education Corp.), Singapore and Educomp Solutions Ltd., India, both are the world class education service providers.

The Institute offers a Post Graduate Diploma in Management & Bachelor of Technology Degree that is designed to empower the participants through quality education focusing on innovation, entrepreneurship and benchmarked management techniques. The Institute aims to create an environment in which students undergo a process of Experiential Learning, IT Orientation and Social Sensitivity through exposure to a range of real world practical problems, and applying learned managerial & technical skills in diverse business and real world situations. Industry-specific-training, live projects, case studies and exposure to practicing national and international professionals are the unique features of the program.

The Institute has invested in the latest technology to ensure that our technological capabilities meet the cutting edge requirements of the industry to promote learning and to facilitate student placements. The program provides a judicious blend of theory and practice and thus prepares the applicant to meet contemporary global requirements.

In appreciation of the quality standards maintained at JRE Group of Institutions, the world renowned BSI has certified JRE Group of Institutions by BS EN ISO 9001:2008.","Plot 5,6,7,8, Adjoining wipro, Noida - Greater Noida Link Road, Knowledge Park IV, Greater Noida, Uttar Pradesh 201310",1800 3000 5585,"1.Good Infrastructure(as it is only 4 years old).
Adequate availability of water and electricity.
You can use computer labs and library only during lunch(1 pm-1.50 pm) or after 4.30 pm, i.e. day boarders either you miss your lunch or miss your cab if you want to utilize those facilities.
",4,
,,,,,,"2. The review is negative. Stay away from such shops.

Do you want to know what happens in such shops?",2,
,,,,,,"3.Well, i have know idea about this ..but i searched it and found that it is quite good in their academics .

If you have no option other than this than you can take admission in this.
",2,
,,,,,,,,
40,Ambedkar Institute of Advanced Communication Technologies & Research,,,"Geeta Colony, New Delhi, Delhi 110031", 011 2121 0161,"1. The teaching staff at Ambedkar Institute of Technology is improving over the years. Students in the past weren’t satisfied with the level of teaching but now they seem quite content. The teachers for Circuits & Systems, DBMS are quite popular in the Computer department for the way they teach and interact with students. The faculty for Mathematics is pretty average and students demand for a change. Most of the lectures are experienced and are qualified while a few are freshers and need to be polished thoroughly. The lectures are conducted in English and Hindi, depending upon the mood of the teacher.",4,
,,,,,,"2. The teaching staff at Ambedkar Institute of Technology is improving over the years. Students in the past weren’t satisfied with the level of teaching but now they seem quite content. The teachers for Circuits & Systems, DBMS are quite popular in the Computer department for the way they teach and interact with students. The faculty for Mathematics is pretty average and students demand for a change. Most of the lectures are experienced and are qualified while a few are freshers and need to be polished thoroughly. The lectures are conducted in English and Hindi, depending upon the mood of the teacher.",4,
,,,,,,"3. The classes are regular in the college with class timing from 9am to 5:30pm with some gaps in between. Regular practical takes place for the better understanding of the subjects.
From 2014, there are changes in exams which were two sessionals and semester exams before. Now 2014 session onwards there is a midterm exam followed by semester exam in the end.
Teachers are selected through UPSC exam, hence they are well educated.
Being a govt college, the attendance tension is almost nil. You can work on your projects taking help of the teachers who are ready to help anytime. You can play almost all games in the college. Sadly, there is no gym, but  you can stay fit by playing. Canteen is well maintained but not with so many options.
The overall experience is very good at Ambedkar Institute of Advanced Communication Technologies and Research.",4,
,,,,,,,,
41,Swami Rama Himalayan University,,"Swami Rama Himalayan University is a private state University located about 25 kilometers southeast of Dehradun city and in close vicinity of Jolly Grant Airport, in north Indian state of Uttarakhand. The university is named after revered Indian Yogi Swami Rama. In April 2012, a proposal for establishing a University was put before the Government of Uttarakhand by Himalayan Institute Hospital Trust. In December 2012 Uttarakhand Legislative Assembly passed the 'Himalayan University Bill, 2012' and in February 2013 it became an Act through the assent of Governor of Uttarakhand as Himalayan University Act, 2012 (Uttarakhand Adhiniyam Sankhya 12 of 2013). The first academic session of university was started from July 2013 .
The Swami Rama Himalayan University is being established with an objective to provide for instruction, teaching, training and research in such branches of study as the University deems appropriate including medical sciences, dental sciences, nursing, pharmacy, paramedical and allied health sciences, science, engineering & technology, biotechnology, yoga sciences, management, rural development, humanities and other branches of higher education.","Swami Ram Nagar, Beside Jolly Grant Airport, Jolly Grant, Doiwala, Dehradun, Uttarakhand 248016
",081940 09631,1. Nice peaceful location ,3,
,,,,,,2. One of the best private medical college in north.,4,
,,,,,,,,
42,YMCA University of Science and Technology - Faridabad,www.ymcaust.ac.in,"“YMCA University of Science and Technology aspires to be a nationally and internationally acclaimed leader in technical and higher education in all spheres which transforms the life of students through integration of teaching, research and character building.”To contribute to the development of science and technology by synthesizing teaching, research and creative activities.
To provide an enviable research environment and state-of-the art technological exposure to its scholars.
To develop human potential to its fullest extent and make them emerge as world class leaders in their professions and enthuse them towards their social responsibilities.","NH-2, Sector 6, Mathura Road, Opp. Sanjay Memorial Industrial Estate, Faridabad, Haryana 121006",0129 231 0126,1. the best university of haryana after NIT KURUKSHETRA  nice crowd  good faculty 90% placement  infrastructure is okay but everyone know old is gold  mechanical and cse of YMCA is best in NCR,4,
,,,,,,2. Best College for Mechanical Engg. Students having supplimentary also get job & Better placements than NITK in mech. Passed out in 2008 & presently employed in prestigious Govtt R&D Organisation. Thank you YMCA..,5,
,,,,,,"3. Good faculty and good environment to study but in library no.of books per class student is less. Hostel rooms are of small size with 4 member in one room , very disturbing:(
There are many clubs which are very encouraging.It also provides good platform for extracurricular activities like sports,women empowerment programmes,seminars ,workshops etc.",3,
,,,,,,"4. BEST FOR DOING B.TECH IN COMPUTER ENGINEERING,IT AND MECHANICAL ENGINEERING  IN HARYANA.",4,
,,,,,,,,
43,Doon Medical College,http://doonmedical.org,"The state of Uttarakhand has been bifurcated on the 9th November 2000 from the erstwhile state of Uttar Pradesh. Having a distinct geography, socio-economic, cultural heritage and different health seeking behaviours, the state planned to establish a Government Medical College at Dehradun along with two more medical colleges in pipeline. The objective of creating a Government medical college is to not only provide cost effective health services to the entire Garhwal region of Himalayas specially the tribal and disadvantage area of the region. The districts Uttarkashi, Tehri and Dehradun where access is only possible for Dehradun apart from this medical college will help to improve access to health services for common people of this state, Dehradun is the gateway of the whole Garhwal region of Uttarakhand and it drains patients from all the seven districts of the region, A government medical college in Dehradun will not only help the population in this region to access for quality health care in a subsidized pattern but will also help in quality medical health services for the tribal and backward population of the region. It will produce quality doctors, which will help to reduce the gap of trained manpower required in the state. The medical college will also promote research and training in the mid and upper Himalayan regions specially related to health care and disaster mitigation.

The medical college is proposed in two pieces of Land, one in Dehrakhas and another in Central Dehradun. Land of 11.58 acres has been identified, demarcated and transferred to the medical education department at Dehrakhas in the city of Dehradun, around 4.5 km from the teaching hospital. Drawings and detailed DPR was approved by the Government of Uttarakhand vide letter no: 1457/XXVIII(I)/2010-32/2009 TC1 dated 24th December 2011.The construction of administrative block, Department of Anatomy, Physiology, Biochemistry and Community Medicine is going to be completed soon. Construction of Central Library, Accommodation for the Faculty and Students are in full swing.

The proposed teaching hospital, Doon hospital of the medical college was established in 1935. It is a fully functional more than 300 bedded hospital having Central Laboratory, ICU, Emergency, Modern OT’S, MRI, CT Scan, Colour Doppler and full strength of specialists staff is available in this state of art ISO certified hospital.
","Uttarakhand, Industrial Area, Patel Nagar, Dehradun, Uttarakhand 248001",,1. College situated in a nice location,3,
,,,,,,2. A lot of superb benefits. The training and systems involved are top notch! The management in place has done a great job at setting accountability across the board.,3,
,,,,,,"3.  Pay while training.
- Paid internship.
- Access to a lot of learning resources.
- Good Health insurance coverage.",3,
,,,,,,,,
44,Maharaja Surajmal Institute of Technology (MSIT),www.msit.in,"This AICTE approved Institute under GGSIP University is ideally located in the Institutional area of  Janakpuri, New Delhi. It has a campus spread over eight acres of land with beautiful eco-friendly surroundings. Institute was earlier operating from four storey building of 6279 sq.m of built up area. Recently it has been shifted to a more spacious seven storeyed building with built up area of 9660 sq.m The institute has over a short span of time acquired and developed impressive infrastructure, expertise and resources for imparting high quality engineering education. The institute runs in two shifts - First/Morning shift and Second/Evening shift providing Bachelor of Technology in CSE, IT, ECE and EEE streams.
","C-4 Janak Puri, New Delhi-110058","25528117, 
25552667","1. A very good college.Good placements , good faculty, good location. Teachers are motivating. Though there is strictness towards attendance and scoring marks but that is required to maintain the discipline and reputation of the college.",4,
,,,,,,"2. I did my bca from MSI, what i dont like in this college is teachers give full marks in internal to those students who are their favourite but those who study hard and dont talk much in class or not much famous they are given bad marks in internals.",1,
,,,,,,"3. I have been a student here @ 2012!
USP- Faculty is always after students for studies,  which is rare and EXTREMELY GOOD. 
STUDIES ARE BEST HERE. A GOOD playground. 
Quite a strict atmosphere. Usually all the students @MSIT get flying marks. ",3,
,,,,,,"4. Well everything has its pro and cons. But what matter is reputation which is earned by this college . Crowd is cool, location is pretty nice for a college and guaranteed fun as teacher are pretty nice not Ain face but actually are in terms of university marks 1 star us being deducted as they don't have Ac in class and don't have proper ground .",4,
,,,,,,,,
45,Apeejay Stya University,http://www.university.apeejay.edu/index.php/introduction,"The Apeejay Stya University is a seat of global learning that offers rich opportunities for innovative teaching-learning, creativity and research across disciplines. It aims to bring about transformation of society through value-based education, man-making and nation-building, by blending together the dual identities of a technology and research based university with a liberal arts institution.","Sohna - Palwal Road,, Sohna, Haryana 122103",1800 103 7888,"1. Excellent university with highly qualified faculty and amazing facilities. Located in outskirts of Gurgaon city, gives you calm and pleasant atmosphere to study. Whole university campus is quite clean and exotic. Greatly enjoyed my time during MBA there. Wish best of luck; to all students currently admitted or planning to join it. ",4,
,,,,,,"2. School of Journalism in the Apeejay Stay University is the one of the best among others. The faculties are good. It is for them that today I am pursuing internship in the prestigious Rajya Sabha Television. It is my long cherished dream that once I will do internship in RSTV and then job. My wish has been fulfilled. I am very very thankful to the teachers. They are very friendly and helpful.Finally, I am missing them now.",5,
,,,,,,"3. School of Journalism and Mass Communication at Apeejay Stya University is a great place to learn and grow. I am proud to be a student of SJMC, where I got the chance to be under the guiding light of inspiring and dedicated teachers. I have got many opportunities here to improve and develop my skills through a number of events, internships and a variety of subjects. As a student, the best that I received at SJMC is hands on job training for print, radio, television and web. This has been a great learning curve for me.   ",3,
,,,,,,"4. Apeejay Stya University is a fully residential university with a focus in the liberal arts. Highly well read faculty with a Student teacher of 1:5 and highly dedicated staff carry forward the legacy of the Apeejay School Group.  The University is completely focused to create Industry oriented professionals with a practical learning approach. Education focused on an interactive, engaging and an inspiring learning experience provides a sound foundation for students' independent learning. ",4,
,,,,,,,,
46,Sharda University (SU),http://www.sharda.ac.in/,"SHARDA UNIVERSITY IS A LEADING EDUCATIONAL INSTITUTION BASED OUT OF GREATER NOIDA, DELHI NCR. A VENTURE OF THE RENOWNED SGI GROUP, THE UNIVERSITY HAS ESTABLISHED ITSELF AS A HIGH QUALITY EDUCATION PROVIDER WITH PRIME FOCUS ON HOLISTIC LEARNING AND IMBIBING COMPETITIVE ABILITIES IN STUDENTS.

The University is approved by UGC and prides itself in being the only multi-discipline campus in the NCR, spread over 63 acres and equipped with world class facilities.

Sharda University promises to become one of the India's leading universities with an acknowledged reputation for excellence in research and teaching. With its outstanding faculty, world class teaching standards, and innovative academic programmes, Sharda intends to set a new benchmark in the Indian education system.","Plot No. 32-34, Knowledge Park III, Greater Noida, Uttar Pradesh 201306", 0120 457 0000,1. Greatly satisfied  to sending daughters to Sharda University Greater Noida NCR Delhi. Over all nice atmosphere. Huge campus.,4,
,,,,,,"2. Campus was good. Though ventilation is an issue in corridors. Rooms are so suffocating, especially computer labs. Poor quality of computers kept in labs. Chairs highly uncomfortable and cheap. Feel lack of open space in campus. Suffocating environment overall.",1,
,,,,,,"3. My university experiences thus far have been amazing. Sharda University is one of best university which always promote the research in multidisciplinary areas as well as encouraging for technology development. It is also very fascinating for all students as well faculties to get interacted with the eminent scientist, nobel laureate and researcher of reputed institutes. Sharda University has excellent joint research collaboration with number of reputed institutions and our faculty are continuously engaged in research with them. Our university has also various schemes for excellent students and faculties to attending the technical workshops/conferences/seminars etc. Excellent atmosphere of teaching and learning in our university is so much attractive. Sharda University is a very welcoming place, and from the first day, I felt that it is the best place to share the knowledge. 

Dr. Manish Sharma
Department of Physics,
School of Basic Sciences and Research",5,
,,,,,,4. sharda university where i introduce with different people across the globe and found many international friends i love sharda the environment and my kind and very supportive teachers  i reallyb enjoying here.,4,
,,,,,,,,
47,Noida International University (NIU),http://niu.edu.in/,"The institute has a sprawling area of 13.90 acres and lush green ambience all around. It is developing as a Centre of Excellence, imparting technical education and generating competent professionals with a high degree of credibility, integrity and ethical standards.

Here, we aim at recognizing, respecting and nurturing the creative potential of each student. Hence, the teachers are trained to foster a healthy learning atmosphere by making conscious efforts to impart education methodically and with perseverance. The institute excels in all the parameters earmarked by the AICTE and Dr. A.P.J. Abdul Kalam Technical University, Lucknow. All courses offered by the institute are approved by AICTE.The institute has a sprawling area of 13.90 acres and lush green ambience all around. It is developing as a Centre of Excellence, imparting technical education and generating competent professionals with a high degree of credibility, integrity and ethical standards.

","Plot No. 1, Sector 17A, Uttar Pradesh 203201",0120 486 2200,"1. I am not getting words to explain this disastrous university. They don't even bother to give away degree to their alumni's. Incompetency is to the heights here and no one can learn good over here under the roof where illiterates dominate you and management can't do anything.
It's better to drop a year than studying in this university",1,
,,,,,,"2. Fantastic University!!! NIU ROCKS! Amazing faculty, infra, cafeteria, sports club and environment is very friendly. Green lush campus with beautiful scenario and perfect university a student can desire for! The staffs are very helpful and the security is also good. Overall a well reputed good University.",4,
,,,,,,"3. ""ONE OF THE  WORST UNIVERSITY"" a student  can ever imagine even in its worst nightmare. the most deplorable ,debris,counter productive,impractical,incompetent,ineffective,inoperative, no good university that exits in India.
NOIDA INTERNATIONAL UNIVERSITY don't deserves even the 1/2th part of a star as rating ,but because this can not be posted without giving a star which is really very sad :( but never mind. my work is done.
To all the students,teachers un employed personals out there, this is a free advice for u, don't get  your life wasted by becoming a part of this f****** good for nothing, feeding on the depression of students who got stucked willingly or unwillingly; university.",1,
,,,,,,"4. It depends on you what you wants from the university.
University gives a very flexible environment to grow.
A wrong move and you are gone.
",4,
,,,,,,,,
48,Noida Institute of Engineering & Technology (NIET),http://www.niet.co.in/engineering_school/index.php,"Noida Institute of Engineering and Technology, is a self financed Institute which offers quality education to students from all corners of the country. It is situated in Greater Noida (a hub of global MNCs). It was established by eminent visionaries, responsible for setting up the City Educational & Social Welfare Society of Meerut, with a vision to provide value driven education of global dimensions.The institute has a sprawling area of 13.90 acres and lush green ambience all around. It is developing as a Centre of Excellence, imparting technical education and generating competent professionals with a high degree of credibility, integrity and ethical standards.

Here, we aim at recognizing, respecting and nurturing the creative potential of each student. Hence, the teachers are trained to foster a healthy learning atmosphere by making conscious efforts to impart education methodically and with perseverance. The institute excels in all the parameters earmarked by the AICTE and Dr. A.P.J. Abdul Kalam Technical University, Lucknow. All courses offered by the institute are approved by AICTE.","19, Knowledge Park-II, Institutional Area, Greater Noida, Uttar Pradesh 201310", 0120 654 3710,"1. I have a very high experience about this college. I'm very great full to this college for providing me the best faculties, who always motivate & help me to achieve my specific goal. I am really very much thankful to the placement department  who always encourage the students and help the students in their placement and providing time to time seminars for motivating & giving a proper path and opportunity to all the students.",5,
,,,,,,2. I am working in Computer Science and Engineering department...Awesome College... its a very nice experience working here.... infrastructure is great... placements are just mind blowing..The kind of exposure they provide to the students is commendable.,5,
