S. No.,Category Name,Description(Minimum 80 words),Singer/music Director/Director,Reviews,Rating,Images
33,The Jangle Book,"Abandoned after an accident, baby Mowgli is taken and raised by a family of wolves. As the boy grows older, the wise panther Bagheera realizes he must be returned to his own kind in the nearby man-village. Baloo the bear however thinks differently taking the young Mowgli under his wing and teaching that living in the jungle is the best life there is. Bagheera realizes that Mowgli is in danger, particularly from Shere Khan the tiger who hates all people. When Baloo finally comes around, Mowgli runs off into the jungle where he survives a second encounter with Kaa the snake and finally, with Shere Khan. It's the sight of a pretty girl however that gets Mowgli to go the nearby man-village. Disney animation inspired by Rudyard Kiplings ""Mowgli"" story. Mowgli is a boy who has been raised by wolves in the Indian jungle. When the wolves hear that the fierce tiger, Shere Kahn, is nearby, they decide to send Mowgli to a local ""man tribe"". On his way to the village, Mowgli meets many animal characters in this musical tale. When Shere Kahn learns of Mowgli's presence, he tracks him down. ",Jon Favreau,"1. Raised by a family of wolves since birth, Mowgli (Neel Sethi) must leave the only home he's ever known when the fearsome tiger Shere Khan (Idris Elba) unleashes his mighty roar. Guided by a no-nonsense panther (Ben Kingsley) and a free-spirited bear (Bill Murray), the young boy meets an array of jungle animals, including a slithery python and a smooth-talking ape. Along the way, Mowgli learns valuable life lessons as his epic journey of self-discovery leads to fun and adventure.

Disney Picture is the best company in making top and number 1 family movies.

Everything is excellent about this movie.

I guarantee you this top movie will win too many Oscars. ",4,
,,,,"2. A great remake that will definitely enchant kids and adults. The CGI characters are excellent and there is an entertaining atmosphere of humor, adventure and suspense.

Mogwli is a Lost boy in the Jungle,but has been grown up the animals - Bagera(Panther), Rakhsha(Wolf mother), Baloo (Bear). Soon Mogwli realizes that since he is human he needs to live with humans.Yet,he can not abandon his loyal Animals who have already taken care of him since he was a baby.

""The Jungle Book"" 2016 has a different,but an amazing ending than ""The Jungle Book"" 1967.I can guarantee that you will see a perfect movie with Great Graphics IMAX Effect and The Best 3D I Have Ever Seen.

I really estimate Disney for their support of Lesbian and Gays.Disney is Simply The Best. ",4,
,,,,"3. The movie may have shown a lot of similarities to the old cartoon,but it didn't show enough info or relationship with Mowgli and the wolves. Sure they did the story good with Mowgli and Baloo's relationship,but what it also rushed through was the ending,and plus I didn't like it when Mowgli went to the man village. The fight with the tiger in the cartoon wasn't bad,but the movie just made it 10 times better. The 1967 one was classic,but the movie just made it into the best thrilling and emotional story that even I enjoyed. I mean yes I wouldn't really make reviews for kids movies,but the director was the man who made Iron man and I love marvel. So I checked out this movie,I watched it and I was like ""oh my god...this was amazing."" So it was just in my opinion,better than the original. The original is in my second place. ",3,
,,,,"4. This seems to be one of those movies you either loved or hated, based on what I read on the reviews. I liked it. It featured outstanding visual effects and a great voice cast, including the great songs like The Bare Necessities. My favorite scenes were where they were in King Louie's temple, the elephant scene, and the showdown scene with the tiger. Christopher Walken, Ben Kingsley, Bill Murray, and Idris Elba were great in their parts. Whether you're familiar with the classic story or new to it, you will enjoy this movie. I liked the kid as Mowgli. Kids might like it more than adults though.",3,
,,,,,,
34,Udaan,"Udann (English: Flight, Fly) (also known as Udann Sapnon Ki) is an Indian television drama show, which premiered on 18 August 2014, and airs on the Colors TV channel, Monday through Friday.  The show is produced by Bollywood filmmaker, Mahesh Bhatt and is based on his unreleased movie of the same name.  It stars child artist, Spandan Chaturvedi in a lead role. The first promo of the show was released on 10 July 2014. 

The series is being dubbed into Tamil as Poovizhi Vasalile on Raj TV and being telecasted from Monday To Saturday at 8.30pm giving tough competition to Vamsam, a Sun TV serial.

It is also dubbed into Sinhala as Dhoni on Hiru TV and telecasts from Monday to Friday at 6.30pm. It is also re-telecasted as Sathi Aga Dhoni on Saturday and Sunday at 5.30pm. The show received good trp throughout and gave more competition after the leap .

Udaan is a social message program to highlight the issue of bonded labour in Indian villages.",Mahesh Bhatt,1. Udaan is a most boring and irritating show .The two sisters are really goddess . Chakor need to lose her weight . She didnot really looks like a main character but a horrible looking woman .These unsense able shows are really abig weight on the bollywood industry . I hope its end comes near and a new senseable and interesting show comes.,1,
,,,,"2. Udaan is coming on colors.In starting I loved to watch this serial because acting of small girl who play the role of chakor was wonderful .In starting this serial is nice .I never miss the episode .This serial show the story of a girl who want to do something big in her life even she is a slave .She want to free every person from the clutches of kamalnarayan.She free herself and become a good runner.Till then it is good but know this serial is really very boring.chakore get married , villagers were again in trouble.Main theme of udaan is disappear somewhere.wastage of time know.",2,
,,,,3. In this serial starting how chakor was struggling for her life and she was very strong personality I like this character very much now also chakor is very strong and main character in the story. I like this story and here we can understand by seeing this story how people struggle in some poor villages in India. in the end of the story what will going to happen to kamal narayan I am very curious about this villan character.,4,
,,,,"4. This is a famous colors t.v show, in this a sweet girl named Chakor acts as main lead role.

as on my point of view this show was much better before, this time when I personally watch is show I felt bored. because this show is too old now the main characters are not doing as good as they was doing before. I specially dislike the creativity of this time in the show I mean I do not like the way they are presenting their show. If they make this show so interesting then this show will take much TRP than present scenario. I want something change. this show needs some twist.",2,
,,,,"5. As this show is starting with a very good concept of how a girl which is slave, is ran away and make her dream of becoming athlete.

This show maintain its concept around 3 to 4 months and after that it goes in wrong direction like other shows.

Now they show us their household stories which I think is waste of time.

So this show is now not worthy to watch.",1,
,,,,,,
35,Hotoon Say Chhu Lo Tum (Gazal),"Prem Geet is a 1981 Indian Bollywood film directed by Sudesh Issar. It stars Raj Babbar and Anita Raj in pivotal roles. Film was proved hit in the box office. Hotho se Chulo tum song was main highlight of the movie. This film gives name and fame to Raj Babbar. For the superhit Nepalese movie visit Prem Geet (2016)Akash and Shikha make an impressive creative team as they work together in a dance troupe, and a romantic relationship soon flourishes between them. But when it transpires that Shikha only has a few months to live, and she's pregnant, some dramatic scenes unravel as the movie travels nears its climax",Jagjeet Singh,"1. Nice song.
Have you heard “ besaheb baat badhane ki zarurat kya he ? “ by Jagjit singh.
I love that song. Specially the lines “ dil se mil ne ki tamanna hi nahee jab dil mein ., haat se haat mila ne ki zarurat kya he ?”",4,
,,,,"2. Hi, Beautiful song, i would like to know where i can get more translated songs from jagjit because i don’t know hindi just english but like songs, thank u",3,
,,,,"3. Jagjit,Mehdi Hassan,Nusrat,Lata,Alka,Noor Jehan & many a great artist proved that they can rule over the hearts of lovrs Beyond borders.",3,
,,,,"4. I think this is more appropriate ‘by carving new tradition, make that tradition immortal’. reet is tradition right?",4,
