S. No.,Category Name,URL if available,Description(Minimum 80 words),Reviews,Rating,Images
35,Sandwich toaster,,"A pie iron, pudgy pie iron, sandwich toaster or jaffle iron, is a cooking
 appliance that consists of two hinged concave, round or square, 
metal plates on long handles. The appliance is used to heat, toast 
and seal a sandwich of two slices of bread and a filling.Modern 
versions of the pie-iron are commonly more domestic, if not 
necessarily more refined, with subdivisions allowing pairs of bread
 slices to be clamped together around fillings to form pockets or
 stuffed sandwiches. A combination of heat and pressure seals
 the bread at the outer edges.
Campfire versions are still made of cast iron and can be cooked
 over coals, open flames, or over a stove but lightweight aluminium
 stove-top versions are made, generally being coated with a non-
stick surface both as a cleaning aid and to allay fears regarding
 aluminium in the diet.
Rights acquired by John O'Brien for Australian cookware company
Breville in the 1970s[2] mean the name Breville is sometimes used
 eponymously to describe both the device and a toasted, sealed
 sandwich.[3] Regardless of brand counter-top sandwich toasters 
are notorious for being little-used. A British survey in 2005 suggested 
that 45% of British adults own but do not use sandwich toasters.","1. This is a neat little sandwich maker. It's a lot smaller than the picture makes it out to be. I could only get one sandwich on the machine. I think the bread in the picture is bread made by hobbits. I would rate it 5 starts without that picture. It toasts the bread great and it's very easy to clean. I bought it for my office. Beware that when you make a sandwich, the smell will attract co-workers. I'll see if I can upload a picture of the maker.",4,
,,,,"2.I like the design and construction of this machine. It seems well built with good materials. IDK how long the Teflon will hold out. Thats the key. Once the Teflon wears out, its worthless to me. This is either a little bit large for 1 sandwich or too small for two. But its still a useful size. These devices are extremely useful for someone without a regular kitchen or for very easy clean up. Thats the niche I see for this. I use these for many non traditional uses. Making eggs, cooking any small meat servings, or toasting any size bread.",3,
,,,,"3.This is a neat little sandwich maker. It's a lot smaller than the picture makes it out to be. I could only get one sandwich on the machine. I think the bread in the picture is bread made by hobbits. I would rate it 5 starts without that picture. It toasts the bread great and it's very easy to clean. I bought it for my office. Beware that when you make a sandwich, the smell will attract co-workers. I'll see if I can upload a picture of the maker.",4,
,,,,,,
36,Self-cleaning oven,,"A self-cleaning oven is an oven which uses high temperature
 (approximately 500 degrees Celsius or 900 degrees Fahrenheit) to 
burn off leftovers from baking, without the use of any chemical agents.
Self-cleaning ovens have a pyrolytic ground coat,[1] which reduces 
foodstuffs to ash with exposure to temperature around 500 °C (932 °F). 
The oven walls are coated with heat- and acid-resistant porcelain enamel.
A self-cleaning oven is designed to stay locked until the high
 temperature process is completed. A mechanical interlock is used to
 keep the oven door locked and closed during and immediately after
 the high-temperature cleaning cycle, which lasts approximately three
 hours, to prevent possible burn injuries. Usually, the door can be
 opened after the temperature cools to approximately 300 °C (572 °F)
Self-cleaning ovens usually have more insulation than standard 
ovens to reduce the possibility of fire. The insulation also reduces the
 amount of energy needed for normal cooking.[citation needed]
Self-cleaning ovens are considered more convenient and time saving
 therefore more cost effective. However, because of the high 
temperatures of burning, they produce smoke and odors. In some 
cases, this may set off a fire alarm. According to most professionals,
 this can be avoided by regular usage of the self-cleaning program","1.We bought an oven built in from IKEA - Whirlpool. It didn't work from the beginning. We called for a technician, who comes in the next day, took the defective part and ordered a new one. Took two weeks to arrive. Now I just found out that I will have to wait another week for somebody to come and install the replaced part. I am very disappointed with their way to serve me as a client",2,
,,,,2.The first thing I noticed after purchasing this stove was that the glass top did not clean properly. I used the product given to me by Sears and tried several others but still could not take marks off of the glass top. I never really used the oven that much until retired and started baking often.,1,
,,,,3.When we moved into our home this past year there was a Whirlpool gas stove model number W10406473A. We have the plastic knobs on the front of the stove which need to be pushed and turned in order to turn on the gas. I recently ran into a serious problem where my cat walked across the knob area and pushed and turned the knob causing the gas to come on the stove. This is a problem due to the fact that a child could have also have easily turned on this stove. This is a definite fire hazard as well as a carbon dioxide problem. I warn anyone with this stove to replace it with another make or model immediately. I'm in the beginning mode of looking to see if a recall has ever been made on this model.,1,
,,,,,,
37,Stove,,"A stove is an enclosed space in which fuel is burned to provide 
heating, either to heat the space in which the stove is situated, or to 
heat the stove itself and items placed on it. This article is principally 
concerned with enclosed stoves burning solid fuels for room heating. 
A kitchen stove is used to cook food. A wood-burning stove or a coal
 stove is typically used for heating a dwelling. Enclosed stoves are 
more efficient and prevents air from being sucked from the room into
 the chimney.
Due to concerns about air pollution, efforts have been made to
 improve stove design.[1] Pellet stoves, for example are a type of 
clean-burning stove. Air-tight stoves more completely combust wood
 and eliminate polluting combustion products. In the U.S. since 1992,
 all wood stoves being manufactured must limit particulate emission.","1.We looked for about a year, comparing ranges, and finally decided on the Bertazzoni. We couldn't be happier.",5,
,,,,"2.So glad to have a space to record a review, in that I really wish I had been privy to them before investing in this misnomer range: professional it is not. I really wanted a non-stainless, non-black, non-white range and was, therefore, limited in my options, esp. in the smaller size.",5,
,,,,"3.FEATURES WE LIKE, BUT MAY NOT BE FOR EVERYONE",3,
,,,,,,
38,Tandoor,,"The term tandoor /tɑːnˈdʊər/ refers to a variety of ovens, the most 
commonly known is a cylindrical clay or metal oven used in cooking 
and baking. The tandoor is used for cooking in Southern, Central 
and Western Asia,[1] as well as in the Caucasus.[2]
The heat for a tandoor was traditionally generated by a charcoal or 
wood fire, burning within the tandoor itself, thus exposing the food to
 live-fire, radiant heat cooking, and hot-air, convection cooking, and 
smoking by the fat and food juices that drip on to the charcoal.
Temperatures in a tandoor can approach 480 °C (900 °F), and it is 
common for tandoor ovens to remain lit for long periods to maintain
 the high cooking temperature. The tandoor design is something of a
 transitional form between a makeshift earth oven and the horizontal
-plan masonry oven.","1.This product is awesome and amazon is the ONLY vendor who offers the tikka masala without the side of rice. I love the fact that tandoor chef isn't afraid to use the real Indian spices and gives this dish the proper spicy ""kick"" it deserves. Even if you aren't a fan of frozen food, give this one a try. I wish Amazon sold it in packs of 6 though instead of 12 as tikka masala boxes dominate my freezer for a while after I receive my order!",5,
,,,,"2.This tastes even better than the ""Butter Chicken"" you find at Indian restaurants, because it's not as greasy. Actually, the delicious tomato-cream sauce makes this meal very addictive. A reasonable portion size also.",5,
,,,,"3.I will start by saying I did not by this on Amazon so I cannot speak to this seller.

I can say that the product as a whole is very good. I buy the chicken with rice from my local grocery store and have been very impressed with it. It is remarkably better than competing brands.

I would prefer if the serving was larger, but am not certain I'd buy the box of only chicken without rice. The reason for that being that I want to throw something in the microwave and make a meal. I don't want to have to make my own rice or other side. That being said, it's not like the chicken and rice is a small serving.

Perhaps that just speaks to how much I like the product. My only ""complaint"" is that I want more of it per box.

So I bought the 12 pack without rice from amazon. Arrived very quickly, in a cooler with dry ice, and still frozen. Yes, I do have to make my own rice with it, but that turns a 5 minute dinner into a 15 minute dinner. Really not that bad. On top of that, it makes SO much food. A box of this with rice could easily feed two people.",5,
,,,,"4.I'm super confused after trying this product just now. I ordered on June 5th, it was shipped June 16th after I contacted Amazon customer service re: the processing time, and I received the order today - June 17th.

I LOVE Tandoor Chef's pizzas and naan, and the reviews here are usually great at pointing me in the right direction - but this order was the complete opposite of everything I expected. I prepared a box as soon as my order arrived, and couldn't help but feel sick upon the realization that I'd paid almost $60 for what amounted to a tiny scattering of gross tasting/textured gristle in sauce. I don't like to waste food, but I actually had to spit out pieces of meat because I couldn't chew through them.

Will definitely be sticking to Tandoor's other products in the future.",1,
,,,,,,
39,Wet grinder,,"A wet grinder can refer to either a tool for abrasive cutting of hard 
materials, or a food preparation appliance used especially in Indian
 cuisine for grinding food grains to produce a paste or batter. A wet 
grinder for abrasive cutting uses fluid for lubrication or cooling, whereas
 one for food preparation uses water to combine with ground grain
 to produce batter.Wet grinding is rare in western cuisine but common 
n Indian cuisine. Wet grinders are used to make pastes from grains
 and lentils, such as those used in cooking dosas and idlis in South
 Indian cuisine.[1] These grinders generally consists of a few granite
 stone plates that are rolled against another stone plate with the
 items to be ground between them. Wet grinders have two advantages 
over electric mixers or blenders. First, the stone grinder generates
 less heat than a mixer; heat affects the flavor of the food. Second,
 the stones remain sharp for a greater time than do metal blades.
Dosa is made from a batter obtained by wet-grinding rice and pulses
Wet grinders are largely manufactured in Coimbatore because 
granite is easily available in this region.[1] Beginning in March 2006
, the label ""Coimbatore Wet Grinder"" is a registered geographical
 indication for Tamil Nadu","1.Sturdy, well engineered, and provides true stone grinding. We will be depending on this lovely machine for many years to come.",5,
,,,,"2.I hate the dealers that sold me the Ultra Wet Grinder from Amazon,
I bought the grinder 2 months ago and I have a problem with the grinder now that the drum does not run,though I have 1 year WARRANTY on this,the dealers that sold me is not responding and I hate their customer service,
it is a waste of my money buying the grinder from them.
I donot recommend this product to anybody.",1,
,,,,"3. I hate the dealers that sold me the Ultra Wet Grinder from Amazon,
I bought the grinder 2 months ago and I have a problem with the grinder now that the drum does not run,though I have 1 year WARRANTY on this,the dealers that sold me is not responding and I hate their customer service,
it is a waste of my money buying the grinder from them.
I donot recommend this product to anybody.",1,
,,,,"4. Sturdy, well engineered, and provides true stone grinding. We will be depending on this lovely machine for many years to come.
",4,
,,,,,,
40,Mixer,,"A mixer is a kitchen utensil which uses a gear-driven mechanism to 
rotate a set of beaters in a bowl containing the food to be prepared. It 
automates the repetitive tasks of stirring, whisking or beating. When
 the beaters are replaced by a dough hook, a mixer may also be used
 to knead.

A mixer may be a handheld mechanism known as an eggbeater, a
 handheld motorized beater, or a stand mixer. Stand mixers vary in 
size from small counter top models for home use to large capacity
 commercial machines. Stand mixers create the mixing action by 
rotating the mixing device vertically: planetary mixers, or by rotating 
the mixing container: spiral mixers.
Mixers for the kitchen first came into use midway through the
 nineteenth century; the earliest were mechanical devices. The 
demand from commercial bakers for large-scale uniform mixing 
resulted in the development of the electric stand mixer. Smaller 
counter-top stand mixers for home kitchen use soon followed.
When selecting a mixer, the purchaser should consider how the 
mixer will be used. Electric mixers with more speed options give
the user more control over the development of the mixture.","1 It went back right away and I got my mother in law the full sized... I expected the mini to be 25% smaller in usable volume, not in over-all volume. This mini holds three cups and you're done... Really a waste of money, even for those people with limited counter-top real-estate. The two stars are for the beauty and are not related to functionality.",2,
,,,,2.  This little powerhouse is the perfect addition to my kitchen! I have a full size Kitchen Aid mixer that is too big to keep on the counter. I kept it to use for extra large jobs (like Christmas cookies in large quantities). My mini mixer is perfect for everyday use and is plenty powerful for everything I've used it for so far. And it looks so nice on my countertop!,5,
,,,,"3. This Artisan Mini is the perfect size for me. It has a smaller footprint and is lighter than my old KitchenAid. Sadly, I gave away my old KitchenAid years ago because it was too heavy to lift, it would not fit in my cabinet, and was kept on the floor in the pantry collecting dust. This one is the perfect size and weight, and fits in my cabinet on a roll out drawer. The bowl is smaller, but is the right size for the amount of spritz cookies I make. If you purchase the pouring shield or Flex Edge Beater, make sure it is the right size to fit this model (3311).",4,
,,,,"4. Ordered this when my Cuisinart mixer died suddenly. It is SO much quieter than the Cuisinart -- it almost makes me think it's not on. Love the quiet motor. It's also very powerful -- I whipped up several batches of cake frosting lickety split. Excellent mixer. My only complaint is the controls. There's an on-off toggle, and a separate up/down switch to control the speed. I suppose I'll get used to it, but it's a bit of a nuisance when you're making something like frosting, where you stop frequently to add ingredients.",5,
,,,,,,
41,Coffeemaker,,"Coffeemakers or coffee machines are cooking appliances used to
 brew coffee. While there are many different types of coffeemakers 
using a number of different brewing principles, in the most
 common devices, coffee grounds are placed in a paper or metal
filter inside a funnel, which is set over a glass or ceramic coffee 
pot, a cooking pot in the kettle family. Cold water is poured into a
 separate chamber, which is then heated up to the boiling point, 
and directed into the funnel. This is also called automatic drip-brew.","1.I thought it was hype, but now I know too.
This is the best coffee I have ever made at home. Period.
I am a believer.
Thank you AeroPress!

UPDATE June 2015: Suddenly the rubber end of the plunger has gone really sticky. I haven't done anything new; I always just rinse it out and every once in a while I handwash it. Now it is so sticky I can't push it through, making it effectively broken.",5,
,,,,"2.Several years ago I bought this--the copolyester, BPA-free version--as a travel espresso maker. Despite the name and claims, it does not make real espresso. Period. Bit that is not the reason for this review.

I have since started drinking coffee in the winter, and I enjoy using this to make ""filtered French press"" coffee. The resulting coffee is milder and mellowed, but I have enjoyed using lighter roasted, brighter coffee beans.

So why my poor rating? The other day I took a closer look at the coffee-stained brewing chamber and realized that it was as rough as 30-grit sandpaper. Under a magnifying glass, I could see large crevices in the plastic brewing chamber. The plastic has been slowly disintegrating. Into my coffee.

So what is this ""copolyster"" that I have been drinking in my coffee? A quick online education reveals that ""by introducing diacids or other diols to the polyester polyethylene terephthalate (PET), the material becomes a copolyester."" The manufacturer of the AeroPress doesn't say much about the material other than claiming it won't leach phthalates. But polyesters ARE phthalates. Further, a literature review in 2009 published in Environmental Health Perspectives by Leonard Sax (""Polyethylene Terephthalate May Yield Endocrine Disruptors"") revealed massive leaching of phthalates from PETs in hot environments (above 70 degrees C), particularly with acidic substances. Well, my coffee is well above 70C, and everyone's coffee is acidic. So I am left to conclude that I have likely been mega-dosing myself with endocrine-disrupting phthalates every morning for the past couple years! Do yourself a favor and brew in glass, stainless steel, porcelain, or similar material known to be inert at high temperatures!",1,
,,,,"3.I was excited to finally buy one of these given all the great reviews and hype I've read over the last year or so. It took me awhile to make the jump since I'd already tried various methods and was happy with my stovetop Bialetti. The unfortunate thing regarding the unit I received, is that the smoked plastic is nowhere near as clear as the product photos show. It's dark brown and impossible to see the level of grounds or water you've added. Following instructions that say to ""fill to #3"" etc, just can't be followed. The coffee was ok, but I'm sure using accurate measurements is key, and that was impossible with the unit I received. Many of the product photos show a MUCH lighter smoked color if not totally clear units. Mine was nothing like those, so be warned.",2,
,,,,"4.  This really does make a great cup of coffee. I've owned it for just over a year, and I've gotten some surprised looks from people who taste a cup I've made them. ""But this is like, better than at a coffee shop."" Yes, I tell them, it is.

It's not exactly speedy. I usually make 1 cup a day with it, my ""good"" cup, and then have some regular coffee later on. For a while you will be playing around with it, fine-tuning your process until you find one that works. It took about 20 cups for me to find my pattern. I heat water in a glass in the microwave for 1:50, run it through 3 tbsps. of fresh grounds in the aeropress, then heat up the finished cup for another 30 seconds. (Making the water hotter to begin with doesn't work as well - took me a while to discover that.)

I wouldn't say I'm a coffee snob, and I'm not even buying fresh locally roasted beans. Just whatever looks nice and is on sale from Kroger. I enjoy a nice cup of coffee, and this provides it. After a year I am about halfway through the filters that came with it. It's a great little coffee maker and worth the price.",5,
,,,,,,
42,Food processor,,"Food processing is the transformation of raw ingredients, by physical
 or chemical means into food, or of food into other forms. Food
 processing combines raw food ingredients to produce marketable
 food products that can be easily prepared and served by the 
consumer. Food processing typically involves activities such as 
mincing and macerating, liquefaction, emulsification, and cooking
 (such as boiling, broiling, frying, or grilling); pickling, pasteurization,
 and many other kinds of preservation; and canning or other 
packaging. (Primary-processing such as dicing or slicing, freezing 
or drying when leading to secondary products are also included.)","1.The Cuisinart food processor is a wonderful tool -- I use it nearly every day, and it slices, chops, purees, and makes pizza dough to perfection. My only complaint is that in an effort to make the machine super-safe they've made it more awkward to use. An old model I had had a feed tube with a ""pusher"" that could be removed, making it quick and easy to add more vegetables, crackers, etc. The new model has the ""pusher"" permanently fixed to the feed tube, making it necessary to remove the entire cover in order to add more food. Does the company really think we're so careless that we can't be trusted with the removable pusher? The new version is slower and more awkward to use, and I wish they'd go back to the old system. Nonetheless, it's a wonderful, reliable machine and I'm happy to recommend it.",4,
,,,,"2. Our Red Hat Society group gathered for a luncheon recently and all of us were remarking about the salads that were served. The chopped vegetables were so evenly done. How did they do it everyone wondered. Privately my Princesses and I concluded it would have to be a food processor. I went on the web to search products and of course Cuisinart was my choice and the 14 cup would be ideal because I sometimes fix for a large group. I am thrilled and what a time saver, it takes the time consuming chopping by hand and does it in seconds, freeing me up to do the gourmet preparations that I'm beginning to discover that I truly love doing. A few days ago I roasted a large piece of deer meat and needed to chop it for chilli, so quick and easy. Your Cuisinart will save you hours and we need those extra hours to the things we love doing in our fast paced world. I hear women say that they have food processors or stand mixers that they need to get out and use again. Don't make the mistake of sticking them in a cupboard. Dedicate places for them and keep them out and handy. You will never regret it. And, Read the Directions First, there are specific directions for unpacking the machine, and a wonderful recipe book to get you started and video enclosed. So easy, so much fun in store for you. Enjoy yourself, Grandma's kitchen will never be the same.",5,
,,,,"3. I've been a Cuisinart owner since 1976--which means that more than six machines (actually, I've lost count, but I know it's at least six) have died on me from various causes. Sometimes the motors burn out, sometimes the spindle cracks, sometimes the casing around the motor cracks. The last one, which my current purchase replaces, suffered from the latter two fatal injuries--I had owned it about five years. I am a serious cook but I don't consciously abuse my appliances. Cuisinarts simply do not last all that long under constant use, as I am sure many other cooks will testify. However, I haven't found a better replacement brand (and yes, I own a Kitchenaid Mixer, and a Cuisinart blender and I owned an Osterizer food processer once and it was a disaster). The 14-cup Cuisinart represents a step up for me, as my prior machines were 11 cup models or smaller. I decided to go with the larger workbowl, as I often have dealt with the volcanic eruption or silent seepage of liquids through the spindle hole when the 11-cup model is too full. So far the 14-cup is fine, but the real test comes about three years from now, when the warranty has expired and the mortal coil starts to shuffle off. Stay tuned. I would note that the dealer who sent this to me--the dealer with the lowest price on the day I purchased the Cuisinart (and an Amazon sub-contractor)--sent me a scratched model. Kind of disgusting, but not worth the bother of shipping back and forth for a replacement.",4,
,,,,,,
43,Induction cooking,,"Induction cooking heats a cooking vessel by magnetic induction, 
instead of by thermal conduction from a flame, or an electrical heating
 element. Because inductive heating directly heats the vessel, very
 rapid increases in temperature can be achieved.
In an induction cooker, a coil of copper wire is placed under the 
cooking pot and an alternating electric current is passed through
 it. The resulting oscillating magnetic field induces a magnetic
 flux which repeatedly magnetises the pot, treating it like the lossy
 magnetic core of a transformer. This produces large eddy currents
 in the pot, which because of the resistance of the pot, heats it.
For nearly all models of induction cooktops, a cooking vessel 
must be made of, or contain, a ferromagnetic metal such as
 cast iron or some stainless steels. However, copper, glass, 
non magnetic stainless steels, and aluminum vessels can be 
used if placed on a ferromagnetic disk which functions as a 
conventional hotplate.
Induction cooking is quite efficient, which means it puts less waste
 heat into the kitchen, can be quickly turned off, and has safety 
advantages compared to gas hobs (cooktops). Hobs are also
 usually easy to clean, because the hob itself does not get very hot.","1. Our review from December published below originally gave this PIC a five star review. I have changed to only ONE star now. SO, if you happen to read any comments by other folks which might not make sence, that is why...",2,
,,,,2. I was very excited to receive my new cook top. Unfortunately it hasn't cooked things very fast and now it's not working at all,1,
,,,,3. i order this iteam and liked it.. however it is VERY FRAGILE... I droped a empty plastic cup on it from a hight of 6 inch and the cook top shattered. it happed after the return date so i might be s.o.l. it sadens me i liked the iteam alot before it broke.,1,
,,,,"4. When you want to brown a piece of meat or even just frying, place a thin cloth on top of the cook top letting the cloth spread out over the cook top. Then put your pot on top of the cloth.It will catch all of the pops of grease and keep everything nice and grease free. It's hard for people to do this at first because we always think that it will catch fire. But it hardly gets warm. Try it.",5,
,,,,,,
44,electric kettle,,"A kettle, sometimes called a tea kettle or teakettle, or a water hotter is 
a type of pot, usually metal, specialized for boiling water, with a lid,
 sprouts and handle, or a small bathroom appliance of similar shape
 that functions in a self-pertained manner. Kettles can be heated
 either by placing on a wire brush, or by their own internal electric 
heating element in the appliance versions.","1 I returned this kettle and bought Hampton Beach's instead. Two key features no one had mentioned that were dealbreakers:
1. It took 12 minutes to boil the full pot from tepid tap water. My stove top tea kettle takes the same amount of time.
2. You can't see the water level from the outside.",1,
,,,,"2. I bought this electric kettle after my stove top kettle needed replacement. It is great -- it boils water very quickly and turns itself off automatically which is a great safety feature. I did a lot of research before I purchased this model, I highly recommend this one -- it gets good reviews and there is no plastic inside the kettle -- many of the others have plastic viewers that are immersed in the hot water, I did not want my hot water in contact with plastic. I haven't found any negative aspects to this kettle and have been using it daily for over three months.",5,
,,,,"3. I have always used a stove top kettle, so I was leery to try out an electric kettle. When I received the product it was easy to get going. The first time I filled the entire kettle with cold water and boiled it through. It boiled very quickly and the automatic shut off worked great!

One of the reasons I tried an electric kettle is because I could never find a stove top kettle that poured smooth and didn't run all over the counter. This product pours smoother than anything I have found and doesn't agitate the tea bag.

Over all this is a great product and I would recommend this to anyone.",4,
,,,,,,
45,juicer,,"A juicer (also known as juicing machine or juice extractor) is a tool
 used to extract juice from fruits, herbs, leafy greens and other types 
of vegetables in a process called juicing. It crushes, grinds, and/or
 squeezes the juice out of the pulp.

Some types of juicers can also function as a food processor. Most 
of the twin gear and horizontal masticating juicers have attachments
 for crushing herbs and spices, extruding pasta, noodles or bread 
sticks, making baby food and nut butter, grinding coffee, making nut milk, etc.","1. This juicer works very well. It quickly processed all the fruits and vegetables I have tried so far. I tried tasting the pulp produced by the juicer and it was pretty tasteless, no juice left in it at all. I had no problems with the juicer jamming or having any other issues.",5,
,,,,"2.  This machine is probably a one-off made by Huron for Mondial (a South American brand of appliance) which has little to no presence in North America. The sellers seem to be liquidating stocks of this juicer, which was intended to be sold in Brazil, and which explains why some of the machines arrive with foreign instructions. As of this writing, it looks as if this machine is no longer offered.",4,
,,,,"3. This is one amazing juicer! I did a lot of research and new it was the one for me, today it arrived and I really put it to work, apples, carrots, pears, watermelon cannolope grapes, celery, kiwi, cucumbers, kale, beats even ginger root, no trouble great output amazing taste, dry pulp.
I am one more than satisfied customer, other comparable juicers were in a whole other price bracket, but this one was in the range and preforms like the high end models.",5,
,,,,4. I love it! Best juicer for me. It gets a lot of use and I am happy with all the many juices I've made so far. Just a little hard to clean the wire basket at times and my brush has started falling apart. Also I have to double strain to get a compleatly pulp free product. But pulp doesn't really bother me. Over all I love my juicer!,4,
,,,,,,
46,shaver,,"Shaver means a person who shaves, or an object which shaves, a 
razor. It may also refer to:

    a boy, as a slang term for shaveling
    Shaver, California, former town in California
    Shaver Creek, tributary of the Juniata River in Huntingdon County,
 Pennsylvania
    Shaver Lake, in Fresno County, California
    Jeff Shaver (born 1963), American baseball player
    Mike Shaver (born 1977), member of the Mozilla project
    Richard Sharpe Shaver (1907–1975), American writer and artist
    Stephanie Shaver, writer (born 1975), artist and computer game
 designer
    A band featuring Billy Joe Shaver and Eddy Shaver
    A breed of chicken (Red Shaver) that is multipurpose, good for laying
 eggs and for meat production
","1. This is one of the best purchases I've ever made. Until this remarkable shaver, which I was steered to by other reviewers here in Amazon, I have not been able to get a decent shave with any razor, blade or electric. I am not young, and shaving under my chin--where the wrinkles are emphasized--has been a problem for years. But this relatively inexpensive Braun does it incredibly well, better than the $100 Remington I've had to throw away, and better even than the 3-bladed Gillettes--with motors or not--although they were the best before the Braun. I hope many will buy this great instrument so it will never be taken off the market. I want it to be there if ever I need a new razor again.",5,
,,,,"2. This price - quality is outstanding. this is a well made shaver for the money. Works plugged in when the battery is drained. This is a big feature. Lets say the battery runs out in the middle of your shave. now what do you do? go out half shaved? Well the Norelco I bought does not have this feature, so I'll keep the Braun handy.

The Braun will give you a pretty close shave - but like all electrics, your face must get used to it. you need to give it time.

After 3 weeks of use my face did get used to the shaver. But I decided I liked the Norelco better than a foil shaver. I think it gets the job done faster with less vibration. But if you like a foil shaver or have no preference, I can highly recommend the Braun.",3,
,,,,"3. I spent decades cutting myself with blades and throwing a mountain of plastic into the landfill, but this device changed all that. It takes a bit of time to master the use of an electric shaver but once you learn how to use it, this machine will give you a close shave and some very fast body hair trimming -- all without any cuts and bruises. Best of all, you only need to replace the head once every 18 months -- which is better for the environment, not to mention your pocket book.",4,
,,,,"4. Is it as good as a blade? NO. But, is it better than any other electric razor I have ever had? YES. Good for those times when you can't or won't operate a real razor. Just don't kiss your girl 4 hours later. Battery charger works well. It hold a charge for a long time with a number of shaves per charge. Great travelling razor for when you are in the middle of the desert with no electricity or water. Good razor - Good value.
Comment| 12 people found this helpful. Was this review helpful to you?
Yes
No
Report",5,
,,,,,,
47,Blender,,"A blender (sometimes called a liquidiser in British English) is a
 kitchen and laboratory appliance used to mix, purée, or emulsify
 food and other substances. A stationary blender consists of a 
blender jar with a rotating metal blade at the bottom, powered by an
 electric motor in the base. Some powerful models can also crush
 ice. The newer immersion blender configuration has a motor on top 
connected by a shaft to a rotating blade at the bottom, which can be
 used with any container.","1. I bought this blender to replace an Oster that I've had for 4 years. I had this Ninja for 28 days. I blend the same stuff every day for breakfast: Powdered protein, milk, frozen strawberries, and bananas. Today I turned the blender on, and one of the strawberries shattered the pitcher and left a 2 inch hole in the side. How can a blender not handle frozen fruit, but is advertised to be able to make ""snow"" from ice cubes?

So I called ninjakitchen.com at 1-800-798-7398. The customer support rep, named Valerie, tells me that if I bought the product from Amazon.com, that it is not under warranty but I am free to purchase another pitcher. I said, not under warranty? It's less than a 30 days old. Can I see that not in warranty statement in writing. She said you can go online and email the department yourself. I said can't you transfer me to that department? She said that she can't transfer me there. I asked for her supervisor, Bonnie. She said the same thing the plastic pitchers are not under warranty. I asked for the president, Mr. Rosen, but he won't take calls. I asked for her supervisor, she said that she is the last person to take calls. I said, this is going nowhere. So here is my one star review. Caveat Emptor.",1,
,,,,2.Don't waste your money on this blender. We used it 15 times to blend since we bought it. We did not chop ice or abuse it. Now it is dead! We had an Oster blender for over 30 years and it still worked when we bought this plastic piece of junk. Of course now it out of warranty but from what I read there IS NO WARRANTY If you buy through Amazon beyond the 30 day return policy. Gee I wonder why they don't warranty their product? I'm searching for a new blender. It won't be a Ninja.,1,
,,,,"3. I am very disappointed in the performance of this  Professional Blender! For the cost I was anticipating creating great smoothies. It has a very powerful motor indeed, but there are loads of tiny pieces floating around that I don't want to see in my smoothie. That's why I was willing to pay a bit more for a quality blender. The end result are very small chunks and pieces of fruits and veggies floating about. A smoothie is a perfect way for me to get my 10 year old to intake veggies that I have a difficult time getting him to eat, buy hiding them and masking the taste, no hiding things in here!

There's also a recall on this unit. The blade is very, very sharp. I actually cut my finger taking the blade out of the box. The real danger is that if you pour from the tank before taking the blade out, you risk getting slashed, as the blade loosely fits into the middle and will plunge out as you pour. The hassle and inability to smooth ingredients together is not worth the cost.",1,
,,,,,,
48,Power point,,"PowerPoint is a presentation software program.

Power Point or Powerpoint may also refer to:

    AC power plugs and sockets
    Power Points, in the Pokémon series
    Magic point, in role playing games
","1.Works OK but you cannot stop in middle. It's all or nothing from beginning to end. If you hesitate or do say something wrong, you must start all over again.",3,
,,,,"2. This doesn't work! The help feature is a joke! Complete waste of Money! I tried to up load all different power point file formats and the converter kept saying that it was not compatible; it was a PPT, PPTX and many more! I tried to use the help to see why it wasn't working and it was no help at all.",1,
,,,,3. I purchased this product after experiencing difficulty with PowerPoint 2010's conversion feature. Movavi's software didn't perform half as well as PowerPoint. Wasted money...,1,
,,,,,,
49,LED Light,,"produce light when voltage is applied to negatively 
charged semiconductors, causing electrons to combine and create
 a unit of light (photon). In simpler terms, an LED is a chemical chip
 embedded in a plastic capsule. Because they are small, several
 LEDs are sometimes combined to produce a single light bulb.

LED lighting in general is more efficient and longer lasting than any 
other type of light source, and it is being developed for more and 
more applications within the home. LEDs are currently popular in 
under-cabinet strips and some types of downlights.

To ensure that you are purchasing an LED bulb with good color 
quality and energy efficiency that is as good or better than 
fluorescent bulbs, look for the ENERGY STAR symbol.","1. The meter's display is not back lit so it is impossible to read at night. The detached measuring head means that two hands are required to operate the unit. So taking notes while making measurements is difficult if not impossible. I returned the unit because I found that it could not be calibrated. Other Extech meters can be calibrated. Why not this one?? It is said to measure colored LED light levels, which is why I ordered it. It simply did not fit my application",3,
,,,,"2. Very good device - excellent form factor for performing walk-around surveys, portable and with good battery life. Features are user friendly and do not require a manual to figure out. Self-calibrating feature is an excellent touch for longevity.",5,
,,,,"3. I use these for restaurant inspections as a health inspector. It is small enough and light so I don't mind carrying it in my tool bag everyday. It's a luxury item, because most inspectors could care less about proper light levels when there are so many facilities with bad food temps. I mainly use it on new construction, when they have the ability to make adjustments more easily. Works well. Just pop off the protective black cover to reveal the white frosted dome and start reading.",5,
